restaurant_id,summary,nutrition_score
17715,"Restaurant: Moore’s Kitchen, Price Range: nan, Zip Code: 20002. Menu Categories: Bottled Beverages (9 items, avg price $2.43); Dessert (5 items, avg price $4.11); Healthy Choices (5 items, avg price $11.99); Sandwich Combo (4 items, avg price $11.74); Single Dishes (10 items, avg price $3.39); Wing Combo (4 items, avg price $19.74).",63
18827,"Restaurant: Rebel Margherita, Price Range: nan, Zip Code: 20009. Menu Categories: Build Your Own Bowl (1 items, avg price $8.39); Grains (5 items, avg price $14.33); Greens (6 items, avg price $14.97); Popular Items (10 items, avg price $14.43); Smoothie Bowls (6 items, avg price $11.95); Smoothies (10 items, avg price $11.65).",74
18831,"Restaurant: Wing Pop, Price Range: $, Zip Code: 20009. Menu Categories: Bundles (5 items, avg price $40.40); Drinks (1 items, avg price $4.50); Famous Wings (5 items, avg price $27.60); Picked for you (5 items, avg price $12.40); Snacks (6 items, avg price $4.58).",30
18835,"Restaurant: Royal Kabob, Price Range: $, Zip Code: 20009. Menu Categories: Appetizers (7 items, avg price $6.35); Beverages (8 items, avg price $2.59); Desserts (4 items, avg price $5.37); Pitas (4 items, avg price $8.49); Plates (8 items, avg price $15.49).",70
18839,"Restaurant: Potbelly Sandwich Shop (17th and Penn | 49), Price Range: $, Zip Code: 20006. Menu Categories: Chips + Sides (11 items, avg price $3.25); Cookies + Shakes  (10 items, avg price $4.54); Drinks (10 items, avg price $3.82); Pick-your-Pair (3 items, avg price $13.99); Picked for you (5 items, avg price $8.19); Salads (4 items, avg price $8.89); Sandwiches (16 items, avg price $8.15).",46
18841,"Restaurant: Haagen Dazs (Chinatown), Price Range: $$, Zip Code: 20001. Menu Categories: Beverages (1 items, avg price $2.75); Coffee Frappes (3 items, avg price $9.50); Dazzler Sundaes (9 items, avg price $10.73); Ice Cream Cups (25 items, avg price $7.65); Milkshakes (7 items, avg price $9.81); Packaged Ice Cream (2 items, avg price $12.45); Picked for you (5 items, avg price $11.35); Smoothies (5 items, avg price $9.90).",23
18842,"Restaurant: Sunoco (1442 U Street NW), Price Range: $, Zip Code: 20009. Menu Categories: Candy &amp; Gum (57 items, avg price $3.24); Canned Goods (5 items, avg price $3.61); Chips &amp; Crackers (29 items, avg price $2.19); Chocolate (36 items, avg price $2.56); Coffee &amp; Tea Drinks (11 items, avg price $2.82); Condiments &amp; Sauces (11 items, avg price $4.11); Cookies &amp; Sweet Treats (24 items, avg price $1.82); Energy &amp; Electrolyte Drinks (26 items, avg price $3.55); Household Items (1 items, avg price $11.49); Juice (4 items, avg price $2.79); Nutritional Bars (17 items, avg price $2.83); Other Groceries (11 items, avg price $2.17); Personal Care (13 items, avg price $5.88); Popcorn, Pretzels, Nuts, &amp; Jerky (19 items, avg price $4.42); Soda (28 items, avg price $2.87); Water (8 items, avg price $2.77).",39
18843,"Restaurant: Eatmore Fried Chicken, Price Range: $, Zip Code: 20010. Menu Categories: Breakfast (11 items, avg price $3.70); Burritos (2 items, avg price $6.49); Char Broiled Dishes (6 items, avg price $8.25); Fried Chicken Wings (2 items, avg price $5.50); Fried Seafood (1 items, avg price $6.50); Grilled Chicken Breast Dishes (3 items, avg price $6.49); Korean BBQ (1 items, avg price $9.99); Maekom and Sweet Soy Chicken (1 items, avg price $7.50); Sub Sandwiches (5 items, avg price $4.59).",22
18848,"Restaurant: Pinstripes (Georgetown), Price Range: $, Zip Code: 20007. Menu Categories: Chef's Entrees (1 items, avg price $32.00); Desserts (8 items, avg price $8.00); Gluten Friendly Menu (13 items, avg price $20.00); Kids Menu (8 items, avg price $10.25); Lunch Combo Meals (5 items, avg price $14.80); Other (2 items, avg price $0.50); Pastas (5 items, avg price $19.60); Picked for you (5 items, avg price $14.40); Pizzas &amp; Flatbreads (6 items, avg price $17.17); Salads &amp; Soup (7 items, avg price $14.86); Sandwiches (6 items, avg price $16.67); Saturday Brunch Desserts (3 items, avg price $8.00); Saturday Brunch Entrees (3 items, avg price $20.00); Saturday Brunch Salads (1 items, avg price $17.00); Saturday Brunch Sides (2 items, avg price $4.00); Sides (7 items, avg price $8.00); Starters (6 items, avg price $13.33).",64
18849,"Restaurant: Rajaji Curry House, Price Range: $$, Zip Code: 20008. Menu Categories: Accompaniments (8 items, avg price $4.08); Beverages (11 items, avg price $3.85); Chefs Special (2 items, avg price $15.45); Chicken Entrees (9 items, avg price $18.51); Desserts (5 items, avg price $4.62); Kids Menu (3 items, avg price $6.95); Lamb Entrees (6 items, avg price $18.78); Mughlai (5 items, avg price $19.15); Picked for you (5 items, avg price $10.61); Seafood (5 items, avg price $21.55); Special Tandoori Breads (6 items, avg price $5.31); Starters (9 items, avg price $7.17); Tandoori Breads (7 items, avg price $4.81); Tandoori Charcoal BBQ and Grill (10 items, avg price $20.45); Vegetarian Entrees (13 items, avg price $14.26); Wok Entrees (5 items, avg price $17.95).",72
18851,"Restaurant: Smoke &amp; Barrel, Price Range: $$$, Zip Code: 20009. Menu Categories: BBQ Plates (8 items, avg price $24.25); Desserts (3 items, avg price $5.67); Extra Housemade Sauces (6 items, avg price $1.00); Picked for you (5 items, avg price $19.80); Sandwiches (7 items, avg price $14.00); Sides (6 items, avg price $4.33); Starters (9 items, avg price $10.11).",73
18858,"Restaurant: Pizza and Calzone, Price Range: $, Zip Code: 20009. Menu Categories: Build Your Own (4 items, avg price $13.61); Calzones (1 items, avg price $9.75); Hand Tossed Pies (20 items, avg price $22.72); Lean and Green (3 items, avg price $7.33); Picked for you (5 items, avg price $19.49); Sides (Flip) (4 items, avg price $8.04); The Sweet Pot (1 items, avg price $3.55).",53
18859,"Restaurant: Pizza + Salad, Price Range: $, Zip Code: 20009. Menu Categories: Build Your Own Pie (1 items, avg price $20.99); Calzones (3 items, avg price $11.00); Hand Tossed Pies (24 items, avg price $21.57); Picked for you (5 items, avg price $18.64); Salads (8 items, avg price $8.62); Sides (4 items, avg price $8.49); The Sweet Spot (1 items, avg price $3.50).",34
18861,"Restaurant: District MeltHouse, Price Range: $, Zip Code: 20001. Menu Categories: Beer (2 items, avg price $5.50); Beverages (6 items, avg price $2.50); Cocktails (3 items, avg price $10.00); Kids (3 items, avg price $6.67); Melts (13 items, avg price $13.38); Picked for you (5 items, avg price $10.90); Soups &amp; Sides (11 items, avg price $4.64).",72
